Frequency (MHz),Channel 1 Voltages (V),Channel 2 Voltages (V),RF Input Power (dBm),RF Output Power (dBm),Gain,Channel 1 DC Current (A),Channel 2 DC Current (A),Channel 1 DC Power (W),Channel 2 DC Power (W),Total DC Drain Current (A),Total DC Gate Current (A),Total DC Drain Power (W),Total DC Gate Power (W),DE (%),PAE (%)
4000,12,3,-26.98558217,8.278752354,35.26433452,0.961698638,0,11.54038365,0,0.961698638,0,11.54038365,0,0.058298179,0.058280832
4000,12,3,-25.98558217,9.27634528,35.26192745,0.961698638,0,11.54038365,0,0.961698638,0,11.54038365,0,0.073352392,0.073330554
4000,12,3,-24.98558217,10.36793235,35.35351452,0.961698638,0,11.54038365,0,0.961698638,0,11.54038365,0,0.09431331,0.094285817
4000,12,3,-23.98558217,11.39034751,35.37592968,0.962351552,0,11.54821863,0,0.962351552,0,11.54821863,0,0.119266851,0.119232263
4000,12,3,-22.98558217,12.37026313,35.3558453,0.962351552,0,11.54821863,0,0.962351552,0,11.54821863,0,0.149455298,0.149411754
4000,12,3,-21.98558217,13.29399779,35.27957996,0.963004667,0,11.55605601,0,0.963004667,0,11.55605601,0,0.184752422,0.184697641
4000,12,3,-20.98558217,14.30918982,35.29477199,0.963004667,0,11.55605601,0,0.963004667,0,11.55605601,0,0.233404564,0.233335599
4000,12,3,-19.98558217,15.37925628,35.36483845,0.963657582,0,11.56389098,0,0.963657582,0,11.56389098,0,0.29841568,0.298328916
4000,12,3,-18.98558217,16.31736281,35.30294498,0.964963611,0,11.57956333,0,0.964963611,0,11.57956333,0,0.369865734,0.369756653
4000,12,3,-17.98558217,17.3077307,35.29331287,0.965616626,0,11.58739951,0,0.965616626,0,11.58739951,0,0.464287605,0.464150373
4000,12,3,-16.98558217,18.32814887,35.31373104,0.966269641,0,11.59523569,0,0.966269641,0,11.59523569,0,0.586861077,0.586688429
4000,12,3,-15.98558217,19.3433409,35.32892307,0.968228685,0,11.61874422,0,0.968228685,0,11.61874422,0,0.739903189,0.739686277
4000,12,3,-14.98558217,20.31803038,35.30361255,0.969534714,0,11.63441657,0,0.969534714,0,11.63441657,0,0.924822589,0.924549881
4000,12,3,-13.98558217,21.31362441,35.29920658,0.972146773,0,11.66576127,0,0.972146773,0,11.66576127,0,1.159976941,1.159634545
4000,12,3,-12.98558217,22.31836417,35.30394634,0.974758832,0,11.69710598,0,0.974758832,0,11.69710598,0,1.458001572,1.457571676
4000,12,3,-11.98558217,23.31134513,35.2969273,0.978023805,0,11.73628566,0,0.978023805,0,11.73628566,0,1.826433402,1.825894002
4000,12,3,-10.98558217,24.28472808,35.27031025,0.982594908,0,11.79113889,0,0.982594908,0,11.79113889,0,2.274662943,2.273987038
4000,12,3,-9.98558217,25.25419143,35.2397736,0.987166011,0,11.84599213,0,0.987166011,0,11.84599213,0,2.830399265,2.829552291
4000,12,3,-8.98558217,26.2249594,35.21054157,0.993696058,0,11.92435269,0,0.993696058,0,11.92435269,0,3.516099263,3.515039992
4000,12,3,-7.98558217,27.22839263,35.2139748,1.000879519,0,12.01055423,0,1.000879519,0,12.01055423,0,4.398212558,4.396888586
4000,12,3,-6.98558217,28.22268107,35.20826324,1.00936871,0,12.11242452,0,1.00936871,0,12.11242452,0,5.483237073,5.481584309
4000,12,3,-5.98558217,29.15294745,35.13852962,1.021121975,0,12.2534637,0,1.021121975,0,12.2534637,0,6.714843216,6.712786459
4000,12,3,-4.98558217,30.07537368,35.06095585,1.04267146,0,12.51205751,0,1.04267146,0,12.51205751,0,8.132210947,8.129675158
4000,12,3,-3.98558217,31.05267623,35.0382584,1.07336315,0,12.8803578,0,1.07336315,0,12.8803578,0,9.893266211,9.890165125
4000,12,3,-2.98558217,31.93721297,34.92279514,1.114503076,0,13.37403691,0,1.114503076,0,13.37403691,0,11.68042862,11.67666869
4000,12,3,-1.98558217,32.71330645,34.69888862,1.158907075,0,13.9068849,0,1.158907075,0,13.9068849,0,13.43076608,13.42621398
4000,12,3,-0.98558217,33.46980098,34.45538315,1.209842221,0,14.51810665,0,1.209842221,0,14.51810665,0,15.3133467,15.30785721
4000,12,3,0.01441783,34.07212165,34.05770382,1.262083396,0,15.14500075,0,1.262083396,0,15.14500075,0,16.86331162,16.85668682
4000,12,3,1.01441783,34.49936488,33.48494705,1.308446439,0,15.70135727,0,1.308446439,0,15.70135727,0,17.94730702,17.93926242
4000,12,3,2.01441783,34.75022319,32.73580536,1.333914012,0,16.00696815,0,1.333914012,0,16.00696815,0,18.65147738,18.64154318
4000,12,3,3.01441783,34.85605433,31.8416365,1.346974306,0,16.16369167,0,1.346974306,0,16.16369167,0,18.92626321,18.91387807
4000,12,3,4.01441783,34.87565234,30.86123451,1.349586365,0,16.19503638,0,1.349586365,0,16.19503638,0,18.97506648,18.95950468
4000,12,3,5.01441783,34.75675586,29.74233803,1.327383865,0,15.92860639,0,1.327383865,0,15.92860639,0,18.77144931,18.75153048
4000,12,3,6.01441783,34.58690455,28.57248672,1.300610263,0,15.60732316,0,1.300610263,0,15.60732316,0,18.42307128,18.39747875
4000,12,3,7.01441783,34.42750457,27.41308674,1.271878617,0,15.2625434,0,1.271878617,0,15.2625434,0,18.160322,18.12737508
4000,12,3,8.01441783,34.25765231,26.24323448,1.247717073,0,14.97260488,0,1.247717073,0,14.97260488,0,17.8019619,17.75968098
4000,12,3,9.01441783,34.12307742,25.10865959,1.228779647,0,14.74535576,0,1.228779647,0,14.74535576,0,17.52477645,17.47072759
5000,12,3,-31.1147133,2.252215876,33.36692918,0.960392608,0,11.5247113,0,0.960392608,0,11.5247113,0,0.014574428,0.014567716
5000,12,3,-30.1147133,3.414573206,33.52928651,0.960392608,0,11.5247113,0,0.960392608,0,11.5247113,0,0.01904703,0.019038579
5000,12,3,-29.1147133,4.179381861,33.29409516,0.960392608,0,11.5247113,0,0.960392608,0,11.5247113,0,0.022714759,0.02270412
5000,12,3,-28.1147133,5.389251246,33.50396455,0.961045623,0,11.53254748,0,0.961045623,0,11.53254748,0,0.029991616,0.029978232
5000,12,3,-27.1147133,6.339114679,33.45382798,0.961045623,0,11.53254748,0,0.961045623,0,11.53254748,0,0.037323831,0.037306981
5000,12,3,-26.1147133,7.389106287,33.50381959,0.961045623,0,11.53254748,0,0.961045623,0,11.53254748,0,0.047531922,0.047510709
5000,12,3,-25.1147133,8.490531458,33.60524476,0.961045623,0,11.53254748,0,0.961045623,0,11.53254748,0,0.061253075,0.061226369
5000,12,3,-24.1147133,9.482684626,33.59739793,0.961045623,0,11.53254748,0,0.961045623,0,11.53254748,0,0.07697385,0.07694023
5000,12,3,-23.1147133,10.47910644,33.59381974,0.961698638,0,11.54038365,0,0.961698638,0,11.54038365,0,0.096758783,0.096716486
5000,12,3,-22.1147133,11.35057975,33.46529305,0.961698638,0,11.54038365,0,0.961698638,0,11.54038365,0,0.11825996,0.118206712
5000,12,3,-21.1147133,12.48775817,33.60247147,0.962351552,0,11.54821863,0,0.962351552,0,11.54821863,0,0.153553889,0.153486898
5000,12,3,-20.1147133,13.47028686,33.58500016,0.962351552,0,11.54821863,0,0.962351552,0,11.54821863,0,0.192536773,0.192452437
5000,12,3,-19.1147133,14.43191101,33.54662431,0.963004667,0,11.55605601,0,0.963004667,0,11.55605601,0,0.240094086,0.239987985
5000,12,3,-18.1147133,15.46147491,33.57618821,0.963657582,0,11.56389098,0,0.963657582,0,11.56389098,0,0.304118964,0.303985481
5000,12,3,-17.1147133,16.47274734,33.58746064,0.964310597,0,11.57172716,0,0.964310597,0,11.57172716,0,0.38359819,0.383430259
5000,12,3,-16.1147133,17.41999961,33.53471291,0.965616626,0,11.58739951,0,0.965616626,0,11.58739951,0,0.476446324,0.476235197
5000,12,3,-15.1147133,18.43519164,33.54990494,0.966922655,0,11.60307186,0,0.966922655,0,11.60307186,0,0.601099245,0.600833811
5000,12,3,-14.1147133,19.41902687,33.53374017,0.968881699,0,11.62658039,0,0.968881699,0,11.62658039,0,0.752403293,0.752069808
5000,12,3,-13.1147133,20.38979484,33.50450814,0.971493658,0,11.6579239,0,0.971493658,0,11.6579239,0,0.938335761,0.937917057
5000,12,3,-12.1147133,21.35664512,33.47135842,0.974105717,0,11.6892686,0,0.974105717,0,11.6892686,0,1.169168683,1.168642979
5000,12,3,-11.1147133,22.37445022,33.48916352,0.97737079,0,11.72844948,0,0.97737079,0,11.72844948,0,1.473005676,1.472346065
5000,12,3,-10.1147133,23.36481811,33.47953141,0.981941893,0,11.78330272,0,0.981941893,0,11.78330272,0,1.841682562,1.840856026
5000,12,3,-9.1147133,24.30945732,33.42417062,0.987818925,0,11.85382711,0,0.987818925,0,11.85382711,0,2.275553985,2.274519628
