Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Return Loss Reference (dB),Return Loss Reference (deg),Insertion Loss (dB),Intertion Loss (deg),Absolute Gain (dBi),Insertion (deg)
0,0,932,3.733057595,-14.00733471,30.47947311,5.762615681,164.6006622,-23.96023178,0,3.909185212,-105.1050797
0,0,933,3.728068147,-13.89181805,30.38523102,5.708579063,175.5041504,-23.96573639,0,3.909043678,-106.8085098
0,0,934,3.723124824,-13.78710651,30.29157066,5.682944775,-173.575882,-23.97139168,0,3.908612489,-108.5131836
0,0,935,3.718058513,-13.69472694,30.19679642,5.676873207,-162.6420288,-23.97735977,0,3.90762228,-110.2191162
0,0,936,3.712991927,-13.6149168,30.09864998,5.679710865,-151.6927795,-23.98351097,0,3.906150853,-111.9263229
0,0,937,3.707818895,-13.545681,29.99498367,5.671056271,-140.7251434,-23.98994446,0,3.904153087,-113.6347885
0,0,938,3.702526709,-13.48471546,29.88616562,5.644911766,-129.738739,-23.99666595,0,3.901701066,-115.3445435
0,0,939,3.697236173,-13.4288578,29.77441597,5.599517822,-118.7363739,-24.00354767,0,3.899049634,-117.0555649
0,0,940,3.692041389,-13.37364864,29.66225052,5.549272537,-107.7171936,-24.01048851,0,3.896498489,-118.7678528
0,0,941,3.686931694,-13.31512928,29.55093384,5.475688934,-96.68360138,-24.01749611,0,3.894229666,-120.4814072
0,0,942,3.681998076,-13.2492981,29.44128418,5.402307034,-85.63757324,-24.02449226,0,3.89254024,-122.1962357
0,0,943,3.677236297,-13.17395115,29.3338623,5.319977283,-74.5791626,-24.03149796,0,3.891555502,-123.912323
0,0,944,3.672787076,-13.0885067,29.22877312,5.256821156,-63.50636292,-24.03838921,0,3.891473634,-125.6296616
0,0,945,3.668508846,-12.99482632,29.12604713,5.212977409,-52.41938782,-24.04532433,0,3.892088724,-127.3483047
0,0,946,3.664630062,-12.89715862,29.02548027,5.193397522,-41.31717682,-24.0520916,0,3.893431255,-129.0682068
0,0,947,3.661180819,-12.80119133,28.92657852,5.193340302,-30.20030975,-24.05867767,0,3.895234406,-130.7893982
0,0,948,3.657868868,-12.71149445,28.82878685,5.184333324,-19.06740761,-24.06539154,0,3.896943651,-132.5118408
0,0,949,3.65481776,-12.63140488,28.73077393,5.160373688,-7.914243698,-24.07212639,0,3.898469465,-134.235611
0,0,950,3.652133885,-12.56147099,28.63089371,5.107508659,3.258699894,-24.07879257,0,3.899855803,-135.9606628
0,0,951,3.649659687,-12.50092506,28.52743149,5.032765388,14.45032597,-24.08555031,0,3.900961909,-137.6869965
0,0,952,3.647358689,-12.44850254,28.41936874,4.922004223,25.66025352,-24.09238243,0,3.901803854,-139.4146118
0,0,953,3.645304312,-12.40167522,28.30741119,4.816091537,36.88510132,-24.0991478,0,3.902591183,-141.1435089
0,0,954,3.643999132,-12.35665512,28.19355392,4.736551285,48.12342072,-24.10527611,0,3.904048862,-142.8736572
0,0,955,3.642910034,-12.31025791,28.07945442,4.668731689,59.37572098,-24.11123276,0,3.905839132,-144.6050568
0,0,956,3.641837688,-12.25899792,27.9661808,4.637606144,70.64256287,-24.11714935,0,3.907986165,-146.3376312
