Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Return Loss Reference (dB),Return Loss Reference (deg),Insertion Loss (dB),Intertion Loss (deg),Absolute Gain (dBi),Insertion (deg)
0,0,2026,11.27085559,-24.34920311,-26.38871956,1.943303585,26.23059654,-24.17700005,0,11.28683876,-128.1953583
0,0,2027,11.2670618,-24.40342522,-23.61617851,1.949809909,33.97398758,-24.19484138,0,11.2828463,-131.1204681
0,0,2028,11.26318446,-24.45768547,-20.83695412,1.927945495,41.7215271,-24.21307373,0,11.27877263,-134.0454102
0,0,2029,11.25974282,-24.51909065,-18.05195999,1.89683485,49.4748764,-24.23124695,0,11.27511175,-136.9702911
0,0,2030,11.25660191,-24.6055088,-15.26209831,1.845670819,57.23464966,-24.24956512,0,11.27166751,-139.8950348
0,0,2031,11.25350055,-24.74613571,-12.46739101,1.785481215,65.00081635,-24.26833534,0,11.26808533,-142.8195801
0,0,2032,11.25068754,-24.93715286,-9.667736053,1.727153063,72.7736969,-24.28726196,0,11.26464373,-145.7440491
0,0,2033,11.2481329,-25.07334328,-6.86260891,1.658370137,80.55243683,-24.30630493,0,11.26165755,-148.6684265
0,0,2034,11.24578184,-25.17259979,-4.049989223,1.590855241,88.33415985,-24.32544899,0,11.25900043,-151.5926361
0,0,2035,11.243427,-25.25028992,-1.226932645,1.528886914,96.11817169,-24.34483147,0,11.25641088,-154.5167847
0,0,2036,11.24133022,-25.31236839,1.613372207,1.485663295,103.8997726,-24.36412048,0,11.25412955,-157.4408264
0,0,2037,11.23901518,-25.36201096,4.482342243,1.490664959,111.6744843,-24.38372231,0,11.25166883,-160.3648224
0,0,2038,11.23686771,-25.40150452,7.37479353,1.517704248,119.4410629,-24.40318108,0,11.24940664,-163.288681
0,0,2039,11.23445537,-25.43207359,10.28249836,1.516155243,127.1977081,-24.42285919,0,11.24690623,-166.2124329
0,0,2040,11.23207814,-25.45383263,13.20209694,1.454719663,134.946228,-24.44238663,0,11.24446669,-169.1360931
0,0,2041,11.2293214,-25.46712303,16.13072586,1.350917935,142.6644897,-24.46212769,0,11.24167204,-172.0596008
0,0,2042,11.22628995,-25.47223663,19.06658936,1.20896697,150.3611908,-24.48200607,0,11.23862604,-174.9828949
0,0,2043,11.22303775,-25.46977043,22.00831985,1.090558529,158.0504608,-24.50201607,0,11.23538085,-177.9060364
0,0,2044,11.21969121,-25.46390915,24.95541382,0.997434497,165.7361603,-24.52207947,0,11.23205101,179.1709747
0,0,2045,11.2162528,-25.46558189,27.90743637,0.941253543,173.4219055,-24.54224205,0,11.22860783,176.24823
0,0,2046,11.21273068,-25.49257088,30.86458588,0.910329998,-178.8929901,-24.56254387,0,11.22500906,173.3256989
0,0,2047,11.20879542,-25.54512215,33.82733536,0.919615626,-171.2071228,-24.58336258,0,11.22092592,170.4033661
0,0,2048,11.20500071,-25.59566116,36.7974205,0.966667116,-163.5263062,-24.60419273,0,11.21699066,167.4812012
0,0,2049,11.20134326,-25.63430977,39.77746964,1.068193555,-155.8573151,-24.62508583,0,11.21322685,164.5592041
