Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Absolute Gain (dBi)
-180,0,3445,-7.936423141,-8.060188804,0,-7.198262612
-180,0,3460,-10.67985767,-8.003264255,0,-9.931068511
-180,0,3475,-8.69658105,-7.555771905,0,-7.858177479
-180,0,3490,-18.29407567,-7.79631499,0,-17.50521767
-180,0,3505,-13.97916232,-8.929190972,0,-13.38451659
-180,0,3520,-11.62966858,-9.017942967,0,-11.04789497
-180,0,3535,-11.74228007,-9.928794403,0,-11.27672088
-180,0,3550,-11.09872358,-12.75977931,0,-10.86236537
-180,0,3565,-10.93494603,-12.81650388,0,-10.70173875
-180,0,3580,-10.11213473,-13.81740997,0,-9.927964564
-180,0,3595,-11.10215582,-14.4543434,0,-10.94357343
-180,0,3610,-13.45304076,-14.72343667,0,-13.30415134
-180,0,3625,-12.219599,-15.11125703,0,-12.08363019
-180,0,3640,-17.67350934,-14.51739893,0,-17.5172544
-180,0,3655,-11.88031643,-16.42719085,0,-11.78030347
-180,0,3670,-12.51064534,-17.0907666,0,-12.42494438
-180,0,3685,-11.24729464,-14.42057316,0,-11.08745127
-180,0,3700,-8.999241956,-16.71111328,0,-8.905626982
-180,0,3715,-10.84006557,-16.57770187,0,-10.74349749
-180,0,3730,-11.2225579,-14.01954384,0,-11.04693486
-180,0,3745,-10.04021623,-14.83866097,0,-9.895290886
-180,0,3760,-8.452809616,-15.06505667,0,-8.315363386
-180,0,3775,-10.29829076,-14.65988422,0,-10.14716791
-180,0,3790,-9.263362333,-14.07960466,0,-9.090200095
-180,0,3805,-10.44244961,-14.5312308,0,-10.28670056
-180,0,3820,-13.57003652,-14.98629771,0,-13.430034
-180,0,3835,-7.571329883,-14.14579566,0,-7.400838902
-180,0,3850,-14.14528884,-13.92369815,0,-13.96566468
-180,0,3865,-9.1137931,-13.84773568,0,-8.930931833
-180,0,3880,-11.07248645,-13.38949641,0,-10.86879181
-180,0,3895,-8.066264175,-13.76565784,0,-7.879838173
-180,0,3910,-14.34893228,-12.2811299,0,-14.08417875
-180,0,3925,-10.19676316,-13.5454162,0,-10.00041673
-180,0,3940,-7.596069545,-15.22196994,0,-7.463575866
-180,0,3955,-12.7636706,-12.86094543,0,-12.53290179
-180,0,3970,-12.0390345,-13.86243539,0,-11.85680427
-180,0,3985,-7.081667771,-15.564092,0,-6.959353689
-180,0,4000,-7.477960266,-13.7051504,0,-7.288860962
-179,0,1000,-15.96742099,-1.088250026,0,-9.424095972
-179,0,1015,-16.84505837,-0.930478708,0,-9.697343605
-179,0,1030,-16.42678122,-1.398856413,0,-10.82599881
-179,0,1045,-17.12939264,-3.004876558,0,-14.1136625
-179,0,1060,-15.60459328,-7.126022033,0,-14.66891538
